,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
150,North Macedonia,MKD,EURO,22/05/2022,1848954,853737.0,88.7,41.119,837084.0,40.317,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6.0
151,Northern Mariana Islands (Commonwealth of the),MNP,WPRO,05/06/2022,111665,44759.0,194.008,77.765,43866.0,76.213,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
152,Norway,NOR,EURO,29/05/2022,11318644,4336878.0,210.9,80.798,4044245.0,75.346,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
154,Oman,OMN,EMRO,23/05/2022,7090453,3263849.0,138.848,63.914,3072891.0,60.175,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
155,Pakistan,PAK,EMRO,30/05/2022,256289705,143988959.0,116.025,65.185,121494669.0,55.002,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
156,Palau,PLW,WPRO,05/06/2022,47146,20196.0,260.59,111.629,17971.0,99.331,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
157,Panama,PAN,AMRO,03/06/2022,8242621,3477600.0,191.033,80.598,3103529.0,71.928,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
158,Papua New Guinea,PNG,WPRO,05/06/2022,452777,330825.0,5.061,3.698,271349.0,3.033,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4.0
159,Paraguay,PRY,AMRO,03/06/2022,8798904,3937397.0,123.363,55.203,3435394.0,48.165,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",8.0
160,Peru,PER,AMRO,03/06/2022,75444116,29373878.0,228.814,89.088,27372984.0,83.019,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
161,Philippines,PHL,WPRO,05/06/2022,150995394,74634409.0,137.793,68.109,70009042.0,63.888,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11.0
162,Pitcairn Islands,PCN,WPRO,05/06/2022,106,46.0,212.0,92.0,37.0,74.0,AstraZeneca - Vaxzevria,1.0
163,Poland,POL,EURO,29/05/2022,54551867,22817068.0,143.7,60.111,22518979.0,59.326,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
164,Portugal,PRT,EURO,29/05/2022,24105499,9716547.0,234.1,94.464,8866231.0,86.114,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",8.0
165,Puerto Rico,PRI,AMRO,03/06/2022,7286265,3052719.0,254.689,106.707,2664504.0,93.137,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
166,Qatar,QAT,EMRO,01/06/2022,6890950,2632575.0,239.182,91.375,2632575.0,91.375,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
167,Republic of Korea,KOR,WPRO,05/06/2022,126333492,44971813.0,246.412,87.717,44505965.0,86.808,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
168,Republic of Moldova,MDA,EURO,29/05/2022,2191590,1093903.0,54.3,27.117,1063602.0,26.366,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
169,Romania,ROU,EURO,29/05/2022,16025055,8173453.0,82.9,42.286,8120581.0,42.013,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
170,Russian Federation,RUS,EURO,04/06/2022,166830060,81031567.0,114.3,55.526,73682537.0,50.49,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",2.0
171,Rwanda,RWA,AFRO,05/06/2022,22214312,9061143.0,171.51,69.958,8527099.0,65.835,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0
172,Saba,XCA,AMRO,03/06/2022,4270,1594.0,220.9,82.462,1577.0,81.583,"Moderna, Pfizer/BioNTech",2.0
173,Saint Helena,SHN,AFRO,05/05/2021,7892,4361.0,129.995,71.833,3531.0,58.162,AstraZeneca - AZD1222,1.0
174,Saint Kitts and Nevis,KNA,AMRO,03/06/2022,58697,28540.0,110.349,53.655,26750.0,50.29,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0
175,Saint Lucia,LCA,AMRO,03/06/2022,120873,59353.0,65.825,32.323,54032.0,29.425,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
176,Saint Vincent and the Grenadines,VCT,AMRO,03/06/2022,71018,36580.0,64.015,32.973,30661.0,27.637,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
177,Samoa,WSM,WPRO,05/06/2022,438313,190053.0,220.908,95.786,173378.0,87.382,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
178,San Marino,SMR,EURO,22/05/2022,69338,26357.0,204.3,76.501,23633.0,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2.0
179,Sao Tome and Principe,STP,AFRO,05/06/2022,214560,123088.0,97.902,56.164,91836.0,41.904,"AstraZeneca - Vaxzevria,SII - Covishield",2.0
180,Saudi Arabia,SAU,EMRO,01/06/2022,65837671,26599329.0,189.113,76.404,24960145.0,71.696,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
181,Senegal,SEN,AFRO,05/06/2022,2523856,1883218.0,15.073,11.247,1051041.0,6.277,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
182,Serbia,SRB,EURO,27/03/2022,6696502,3386883.0,96.7,48.896,3309619.0,47.781,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",5.0
183,Seychelles,SYC,AFRO,05/06/2022,221597,84886.0,225.322,86.313,80700.0,82.056,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",4.0
184,Sierra Leone,SLE,AFRO,05/06/2022,2930408,2383636.0,36.736,29.881,1659093.0,20.799,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
185,Singapore,SGP,WPRO,05/06/2022,14088862,5015471.0,240.821,85.73,4987927.0,85.259,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
186,Sint Eustatius,XBA,AMRO,03/06/2022,4325,1791.0,137.783,57.056,1686.0,53.711,"Moderna, Pfizer/BioNTech",2.0
187,Sint Maarten,SXM,AMRO,03/06/2022,64539,29164.0,150.504,68.01,26237.0,61.184,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
188,Slovakia,SVK,EURO,29/05/2022,7075947,2821839.0,129.6,51.702,2771739.0,50.784,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",6.0
